Region;Appellation;Domaine;Nom;Millesime;Quantite;Flacon;Meuble;Position;Couleur;Type;Cepage;Mets et vins;Note;A consommer avant;Fournisseur;Commentaires
Bordeaux;Sainte Croix du Mont;;;2010;1;75cl;D;3;Blanc;Moelleux;;Apero/Foie gras;4;;Francis;
Bordeaux;Loupiac;;;2002;1;75cl;D;4;Blanc;Moelleux;;Apero/Foie gras;2;;;
Bordeaux;Loupiac;;;2011;1;75cl;D;4;Blanc;Moelleux;;Apero/Foie gras;3;;;
Bourgogne;Beaunes de Venises;;;2019;1;75cl;D;7;Blanc;Moelleux;;Apero;5;;Moi;
Loire;Cidre rose ;;;;2;75cl;A;7;Rose;Effervescent;;Crepes;;;;
Loire;Cidre;;;;2;75cl;A;8;Blanc;Effervescent;;Crepes;;;;
Loire;Ackerman rose;;;;2;75cl;A;6;Blanc;Effervescent;;;;;;
Loire;Mousseux;;;;1;75cl;A;7;Blanc;Effervescent;;;;;;
Provence;Rose petllant;Mirabeau;;;3;75cl;A;5;Rose;Effervescent;;Apero;3;;;
Loire;Citron vert petliant;;;;2;75cl;A;6;Blanc;Effervescent;;Apero;3;;;
Champagne;Champagne brut ;Rome lot poupard;;;3;75cl;A;4;Blanc;Effervescent;;Apero;4;;Mariage;
Champagne;Champagne 1er cru;La cuisse ;;;1;75cl;A;5;Blanc;Effervescent;;Apero;5;;Cadeau gilles;
Champagne;Champagne brut;Christian diligean;;;1;75cl;A;3;Blanc;Effervescent;;Apero;5;;Cadeau fred;
Champagne;Champagne blanc de blanc;Arnaud guebel;;;1;75cl;A;3;Blanc;Effervescent;;Apero;4;;Cadeau christophe;
Champagne;Champagne brut;;;;1;75cl;A;3;Blanc;Effervescent;;Apero;4;;Cadeau jordy;
